LATITUDE,LONGITUDE,TOTAL COUNT,CAD_CALL_TYPE_CBRN & Hazardous Materials,CAD_CALL_TYPE_Carbon Monoxide,CAD_CALL_TYPE_Emergency Fire,CAD_CALL_TYPE_Medical,CAD_CALL_TYPE_Non Emergency,CAD_CALL_TYPE_Other Emergency Events,CAD_CALL_TYPE_Technical Rescue,CAD_CALL_TYPE_Vehicle Incident
43.761010871,-79.229130935,711,8.0,8.0,331.0,247.0,2.0,36.0,68.0,11.0
43.67299301600001,-79.40214047,709,5.0,3.0,145.0,499.0,2.0,38.0,12.0,5.0
43.784113098999995,-79.297162862,706,2.0,2.0,196.0,465.0,0.0,25.0,12.0,4.0
43.775759176,-79.261897122,701,7.0,0.0,188.0,411.0,3.0,57.0,17.0,18.0
43.612084808,-79.51582541899998,695,0.0,0.0,531.0,121.0,1.0,34.0,2.0,6.0
43.761508831,-79.41093797899998,680,11.0,2.0,182.0,356.0,0.0,40.0,46.0,43.0
43.776436249,-79.231756836,678,10.0,9.0,198.0,260.0,3.0,40.0,89.0,69.0
43.65636823,-79.36759669699998,676,3.0,6.0,371.0,165.0,2.0,29.0,99.0,1.0
43.638582782,-79.42913565099998,675,6.0,9.0,213.0,385.0,2.0,27.0,31.0,2.0
43.760459782,-79.50978049299998,671,10.0,2.0,190.0,236.0,2.0,32.0,197.0,2.0
43.668603292,-79.45876936499998,668,9.0,24.0,284.0,258.0,1.0,33.0,57.0,2.0
43.655774072,-79.38067488899999,667,6.0,0.0,169.0,449.0,2.0,26.0,9.0,6.0
43.720875155,-79.241448854,664,4.0,9.0,202.0,350.0,4.0,27.0,42.0,26.0
43.762240995,-79.50052088299998,664,7.0,4.0,216.0,303.0,1.0,27.0,101.0,5.0
43.696429166,-79.490164198,660,5.0,4.0,185.0,333.0,1.0,21.0,110.0,1.0
43.789077411,-79.44653093399998,659,5.0,1.0,111.0,434.0,3.0,24.0,68.0,13.0
43.721271824,-79.545715251,650,7.0,5.0,267.0,258.0,1.0,24.0,80.0,8.0
43.708659308,-79.478062181,648,6.0,2.0,178.0,290.0,4.0,29.0,86.0,53.0
43.647257268000004,-79.37331256999998,644,15.0,4.0,313.0,251.0,3.0,27.0,31.0,0.0
43.671328373,-79.373729658,643,4.0,0.0,376.0,189.0,2.0,22.0,50.0,0.0
43.716947653999995,-79.555983687,640,10.0,4.0,173.0,358.0,9.0,30.0,25.0,31.0
43.70999645,-79.334394981,639,6.0,0.0,260.0,242.0,1.0,35.0,67.0,28.0
43.662418858,-79.376716938,638,8.0,26.0,205.0,325.0,2.0,37.0,18.0,17.0
43.663190021000005,-79.373061781,637,1.0,4.0,161.0,426.0,3.0,23.0,10.0,9.0
43.647347553,-79.437279707,637,8.0,3.0,159.0,338.0,4.0,37.0,88.0,0.0
43.665524171,-79.499207448,634,6.0,15.0,197.0,296.0,3.0,39.0,68.0,10.0
43.666657287,-79.403870741,628,7.0,1.0,98.0,488.0,0.0,16.0,10.0,8.0
43.70732801800001,-79.395492656,627,7.0,0.0,210.0,348.0,3.0,34.0,22.0,3.0
43.676202331999995,-79.358872563,626,3.0,1.0,134.0,427.0,4.0,19.0,13.0,25.0
43.749147656000005,-79.515684889,625,4.0,1.0,224.0,283.0,3.0,31.0,67.0,12.0
43.701324331,-79.548676208,625,10.0,18.0,370.0,116.0,0.0,21.0,85.0,5.0
43.668033226999995,-79.39738078899998,623,4.0,4.0,246.0,324.0,3.0,14.0,18.0,10.0
43.772312495,-79.450946109,621,5.0,3.0,189.0,335.0,2.0,33.0,40.0,14.0
43.657208766000004,-79.404076433,619,0.0,1.0,96.0,497.0,0.0,18.0,5.0,2.0
43.70225340100001,-79.441109053,614,12.0,1.0,192.0,317.0,7.0,43.0,38.0,4.0
43.727408901000004,-79.26591828399998,614,4.0,4.0,264.0,267.0,2.0,31.0,25.0,17.0
43.741093842,-79.589232607,611,7.0,9.0,99.0,400.0,2.0,31.0,2.0,61.0
